time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,0,0,0,0
2026-06-21 00:00:00+00:00,0,0,0,0
2026-06-22 00:00:00+00:00,0,0,0,0
2026-06-23 00:00:00+00:00,0,0,0,0
2026-06-24 00:00:00+00:00,0,0,0,0
2026-06-25 00:00:00+00:00,0,0,0,0
2026-06-26 00:00:00+00:00,0,0,0,0
2026-06-27 00:00:00+00:00,0,0,0,0
2026-06-28 00:00:00+00:00,0,0,0,0
2026-06-29 00:00:00+00:00,13,13,3,1
2026-06-30 00:00:00+00:00,0,0,0,0
2026-07-01 00:00:00+00:00,0,0,0,0
2026-07-02 00:00:00+00:00,0,0,0,0
2026-07-03 00:00:00+00:00,0,0,0,0
2026-07-04 00:00:00+00:00,0,0,0,0
2026-07-05 00:00:00+00:00,1,1,0,0
2026-07-06 00:00:00+00:00,2,2,0,0
2026-07-07 00:00:00+00:00,1,1,0,0
2026-07-08 00:00:00+00:00,1,1,0,0
2026-07-09 00:00:00+00:00,0,0,0,0
2026-07-10 00:00:00+00:00,1,1,0,0
2026-07-11 00:00:00+00:00,0,0,0,0
2026-07-12 00:00:00+00:00,2,2,0,0
2026-07-13 00:00:00+00:00,0,0,0,0
2026-07-14 00:00:00+00:00,1,1,0,0
2026-07-15 00:00:00+00:00,1,1,0,0
2026-07-16 00:00:00+00:00,0,0,0,0
2026-07-17 00:00:00+00:00,0,0,0,0
